authors,title,System,year,publisher,type,abstract
"P Mziray, IA Kimirei, PA Staehr, CV Lugomela…",Seasonal patterns of thermal stratification and primary production in the northern parts of Lake Tanganyika,Freshwater,2018,Elsevier,NA,"Thermal stratification in meromictic Lake Tanganyika weakens during the cool, dry and windy season, allowing intrusions of deeper nutrient-rich waters into the upper mixed layer …"
"HH Jessen, HF Mgana, P Grønkjær…",Dietary differences among commercially important fishes in Lake Tanganyika assessed using stable isotope analysis,Freshwater,2019,Elsevier,NA,"The pelagic fishery of Lake Tanganyika, which is largely made up of the three species Lates stappersii, Limnothrissa miodon, and Stolothrissa tanganicae, has been in decline, and …"
"Q Gao, S Chen, IA Kimirei, L Zhang, H Mgana…","Wet deposition of atmospheric nitrogen contributes to nitrogen loading in the surface waters of Lake Tanganyika, East Africa: a case study of the Kigoma region",Freshwater,2018,Springer,NA,"Abstract Lake Tanganyika, an African Great Lake, is a complex tropical ecosystem that has been subjected to extreme climate-related changes in the last century, including seasonal …"
"HF Mgana, A Jonsson, M Karlsdóttir",Quality assessment of hot smoked Capelin (Mallotus villosus) and Redfish (Sebastes mentella),Freshwater,2014,grocentre.is,PDF,"Redfish and capelin were hot smoked by using an isolated cabin, designed by Matís. Performance of the cabin was monitored by quantifying the amount of firewood used …"
"Q Gao, S Chen, IA Kimirei, L Zhang, H Mgana, P Mziray…",Wet deposition of atmospheric nitrogen contributes to nitrogen loading,,2018,NA,CITATION,NA
HF Mgana,"Zooplankton distribution and abundance in Lake Tanganyika with special reference to Topodiaptomus simplex, Kigoma, Tanzania",Freshwater,2009,na,CITATION,NA
"AA Pollen, AP Dobberfuhl, J Scace, MM Igulu…",Environmental complexity and social organization sculpt the brain in Lake Tanganyikan cichlid fish,Freshwater,2007,karger.com,NA,Complex brains and behaviors have occurred repeatedly within vertebrate classes throughout evolution. What adaptive pressures drive such changes? Both environmental …
"MM Igulu, I Nagelkerken, M Dorenbosch, MGG Grol…",Mangrove habitat use by juvenile reef fish: meta-analysis reveals that tidal regime matters more than biogeographic region,Marine,2014,journals.plos.org,HTML,Identification of critical life-stage habitats is key to successful conservation efforts. Juveniles of some species show great flexibility in habitat use while other species rely heavily on a …
"MM Igulu, I Nagelkerken, G van der Velde, YD Mgaya","Mangrove fish production is largely fuelled by external food sources: a stable isotope analysis of fishes at the individual, species, and community levels from across …",Marine,2013,Springer,NA,Coastal ecosystems are energetically connected through passive transport of nutrients but also by migrations of motile organisms. Mangroves are highly productive tropical …
"IA Kimirei, MM Igulu, M Semba, BR Lugendo",Small estuarine and non-estuarine mangrove ecosystems of Tanzania: overlooked coastal habitats?,Marine,2016,Springer,NA,Small estuaries and non-estuarine habitats harboring mangroves are very important ecosystems which provide important ecosystem goods and services; such as provision of …
"B Kaunda-Arara, C Munga, J Manyala, B Kuguru…",Spatial variation in benthopelagic fish assemblage structure along coastal East Africa from recent bottom trawl surveys,Marine,2016,Elsevier,NA,The structure of benthopelagic fish assemblages of the continental shelves and upper slopes along coastal East Africa (Kenya and Tanzania) was studied based on data from …
"BI Everett, JC Groeneveld, ST Fennessy…",Demersal trawl surveys show ecological gradients in Southwest Indian Ocean slope fauna,Marine,2015,ajol.info,NA,"We assessed the richness, diversity and community structure of demersal fish and benthic invertebrates caught by trawl nets along the deep shelf and upper continental slope of the …"
"JS Sululu, AT Kamukuru, BC Sekadende…","Reproductive biology of the anchovy (Stolephorus commersonnii, Lacepède, 1803) and spotted sardine (Amblygaster sirm, Walbaum, 1792) from Tanga Region …",Marine,2020,ajol.info,NA,The present study investigated the reproductive biology of Stolephorus commersonnii and Amblygaster sirm at two landing sites in Tanga on the northern coast of Tanzania. Fish …
"M Igulu, ZM El Kharousy","Tanzania national report to the scientific committee of the Indian Ocean Tuna Commission, 2015",Marine,2015,tzonline.org,PDF,Tanzania national fleets are dominated by artisanal fleets which are characterized by multi-species catch; involve the use of multi-gear and multi-cultural fisheries. Fishing activity takes …
"CA Rohner, SJ Pierce, CEM Prebble, M Igulu…","Caught in the net: a small, resident group of whale sharks feeding among fishing boats",Marine,2016,qscience.com,NA,"Background Off Mafia Island, Tanzania, whale sharks are seen in a small bay that also boasts one of the country's largest coastal fisheries. We set out to determine the population …"
"BC Sekadende, JS Sululu, AT Kamukuru…","Preliminary findings on the food and feeding dynamics of the anchovy Stolephorus commersonnii (Lacepède, 1803) and the Indian mackerel Rastrelliger kanagurta …",Marine,2020,ajol.info,NA,"Small pelagic fishes play an important role in the ecosystem by linking planktonic production and higher trophic level predators, and provide a livelihood to both the small-scale and …"
"EF Cagua, J Cochran, C Rohner, MM Igulu…","Demographics and feeding ecology of whale sharks at Mafia Island, Tanzania",Marine,2013,search.proquest.com,NA,"Background. The Western Indian Ocean is a globally important region for the whale shark Rhincodon typus, with well-studied coastal aggregation sites in southern Mozambique …"
MM Igulu,"Sensory mechanisms, habitat selection and habitat use in tropical juvenile coral reef fish",Marine,2014,repository.ubn.ru.nl,BOOK,"Tropical mangroves and seagrass beds provide nursery habitat for many commercially important decapods and fish species (Nagelkerken et al. 2000, Mumby et al. 2004 …"
"MGG Grol, I Nagelkerken, AD Olds, MM Igulu…",Meta-analysis reveals that utilization of mangrove and seagrass nursery habitats across the globe is related to tidal regime rather than biogeographic region.,Marine,2014,196.44.162.10,NA,Identification of critical life-stage habitats is key to successful conservation efforts. Juveniles of some species show great flexibility in habitat use while other species rely heavily on a …
"B Everett, J Groeneveld, S Fennessy, N Dias, O Filipe…",Along the coast and across the channel–trends in diversity of crustaceans and fishes caught by deep-water trawl surveys in the SW Indian Ocean,Marine,NA,NA,PDF,Along the coast and across the channel – trends in diversity of crustaceans and fishes caught by deep-water trawl surveys in t Page 1 Along the coast and across the channel – trends in …
"J Paulsen, CA Rohner, H Reuter…","Fine-scale behaviour of whale sharks off Mafia Island, Tanzania",Marine,2016,qscience.com,NA,"Background Mafia Island off the Tanzanian coast features a year-round resident whale shark population. Many of the sharks are seen regularly, making this a great natural laboratory to …"
"I Nagelkerken, YD Mgaya, M Igulu, G Van der Velde","Mangrove Fish Production is Largely Fuelled by External Food Sources: A Stable Isotope Analysis of Fishes at the Individual, Species, and Community Levels from …",Marine,2013,196.44.162.10,NA,Coastal ecosystems are energetically connected through passive transport of nutrients but also by migrations of motile organisms. Mangroves are highly productive tropical …
"R Fraaije, H Ligtenberg, I Nagelkerken, M Igulu…",The potential role of visual cues for microhabitat selection during the early life phase of a coral reef fish (Lutjanus fulviflamma).,Marine,2011,196.44.162.10,NA,Pelagic larvae of various coral reef fish species are known to be active swimmers that can carefully select preferred microhabitat during settlement. Fish larvae may use visual …
"I Nagelkerken, M Igulu, M Schippers, R van Eck…",Orientation from open water to settlement habitats by coral reef fish: behavioral flexibility in the use of multiple reliable cues,Marine,2013,196.44.162.10,NA,"Most coastal marine organisms have a dispersive oceanic larval stage, during which they must be able to distinguish and respond to relevant environmental cues when settling into …"
"AK Saha, J Kashaigili, F Mashingia, H Kiwango…","Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania",Freshwater,NA,NA,CITATION,"Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania COSTECH Integrated Repository Freshwater Inflows for the Wami River Estuary, Saadani National Park …"
"F Mashingia, AK Saha, M Igulu, J Kashaigili, P Hyera…","Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania",Freshwater,2016,196.44.162.10,CITATION,"Freshwater Inflows for the Wami River Estuary, Saadani National Park, Tanzania University of Dar es Salaam Research Repository Freshwater Inflows for the Wami River Estuary, Saadani National …"
JM Assam,The effect of pawpaw (Carica Papaya) seeds on Gonadal development of Nile. Tilapia (Oreochromes Niloticus) and their growth performance compared to …,Freshwater,2016,University of Dar es Salaam,CITATION,NA
"IS Semesi, J Kangwe, M Björk","Alterations in seawater pH and CO2 affect calcification and photosynthesis in the tropical coralline alga, Hydrolithon sp.(Rhodophyta)",Marine,2009,Elsevier,NA,"Calcification in the marine environment is the basis for the accretion of carbonate in structures such as coral reefs, algal ridges and carbonate sands. Among the organisms …"
"M Gullström, B Lundén, M Bodin, J Kangwe…",Assessment of changes in the seagrass-dominated submerged vegetation of tropical Chwaka Bay (Zanzibar) using satellite remote sensing,Marine,2006,Elsevier,NA,"Spatial and temporal dynamics of submerged aquatic vegetation (SAV) cover were studied in the relatively pristine and seagrass-dominated area of Chwaka Bay, Zanzibar (Tanzania) …"
"GW Maneveldt, PW Gabrielson, J Kangwe","Sporolithon indopacificum sp. nov.(Sporolithales, Rhodophyta) from tropical western Indian and western Pacific oceans: First report, confirmed by DNA …",Marine,2017,herbarium.unc.edu,PDF,"Sporolithon indopacificum sp. nov. is characterized from Zanzibar Island, Tanzania. rbcL and psbA markers indicate that the species is unique compared to all other Sporolithon …"
"…, PW Gabrielson, RA Townsend, J Kangwe","Lithophyllum longense (Corallinales, Rhodophyta): a species with a widespread Indian Ocean distribution.",Marine,2019,cabdirect.org,NA,see more details. Both plastid markers psbA and rbcL confirm that L. longense is a distinct species despite its being morpho-anatomically nearly indistinguishable from several other …
"…, R Kayanda, C Mwakosya, SJ Kangwe…",Assessment of the impacts of artisanal fishing gears on nearshore fish stocks along coastal waters off the Kilwa–Mafia seascape in Tanzania,Marine,2019,Elsevier,NA,"Small-scale fisheries (SSF) in many parts of the worlds are known to support the livelihoods of millions of coastal communities. Also, SSF are characterized by being multispecies and …"
"…, B Kuguru, M Igulu, M Chande, S Kangwe…",Spatial variation in benthopelagic fish assemblage structure along coastal East Africa from recent bottom trawl surveys,Marine,2016,Elsevier,NA,The structure of benthopelagic fish assemblages of the continental shelves and upper slopes along coastal East Africa (Kenya and Tanzania) was studied based on data from …
JW Kangwe,"Calcareous algae of a tropical lagoon: primary productivity, calcification and carbonate production",Marine,2005,diva-portal.org,HTML,"The green algae of the genus Halimeda Lamouroux (Chlorophyta, Bryopsidales) and the encrusting looselying red coralline algae (Rhodophyta, Corallinales) known as rhodoliths …"
"JW Kangwe, F Hellblom, AK Semesi…",Heavy metal inhibition of calcification and photosynthetic rates of the geniculate calcareous algae Amphiroa tribulus.,Marine,2001,researchgate.net,PDF,"ABSTRACT Amphiroa tribulus (Rhodophyceae, Corallinaceae) is common in the reefs near Zanzibar town, but it may be threatened by high levels of pollutants from sewage outlets of …"
"…, RS Arthurton, A Dubi, S Gachuiri, J Kangwe…",Shoreline change in Tanzania and Kenya: Manual for assessment and design of mitigation strategies,Marine,2015,vliz.be,NA,"The aim of the manual is to raise awareness of the complex causes of, and the issues and risks associated with, shoreline change at local and national scales in Tanzania and Kenya …"
"JS Sululu, SGM Ndaro, SJ Kangwe","The food and feeding habits of the Delagoa threadfin bream, Nemipterus bipunctatus (Valenciennes, 1830), from the coastal waters around Dar es Salaam, Tanzania",Marine,2017,ajol.info,NA,Nemipterus bipunctatus is among the Nemipterids that support artisanal fisheries throughout most of the Western Indian Ocean (WIO) region. Despite its economic importance …
"LJ Chauka, NE Mbije, SJ Kangwe",Seasonal fluctuations in photochemical efficiency of Symbiodinium harbored by three reef-building corals that differ in bleaching susceptibility,Marine,2015,ajol.info,NA,"Coral Reefs ecosystems are the most vulnerable to climate change. In view of this, it is important to evaluate the rate at which reef-building corals develop functioning adaptations …"
"ANN Muzuka, M Bjork, JW Kangwe, N Nyandwi…","Preliminary results on the sediment sources, grain size distribution and percentage cover of sand-producing Halimeda species and associated flora in …",Marine,2001,NA,CITATION,NA
"N Nyandwi, JW Kangwe",Ecological and engineering importance of the Bet el Ras beach-sandstone,Marine,2006,ajol.info,NA,"A unique sandstone known as the Bet el Ras sandstone, supposedly of Holocene age, occurs profusely along the western coast of Unguja but more extensive at its locality area …"
"J Kangwe, IS Semesi, S Beer, M Mtolera, M Björk",Carbonate Production by Calcareous Algae in aSeagrass-Dominated System: The Example of Chwaka Bay. CHAPTER 8: CHAPTER 8,Marine,2012,diva-portal.org,PDF,"Chwaka Bay is well protected from the open ocean by fringing Coral Reefs, forming a secluded bay with vast shallow sand flats and a tidal range of over 3 m. This is an ideal …"
JW Kangwe,The Effect of Land-based Pollution on the Reef building Calcareous algae in the Reefs near Zanzibar Town,Marine,1999,NA,CITATION,NA
"J Kangwe, IS Semesi, S Beer, M Mtolera, M Björk",Carbonate Production by Calcareous Algae in a seagrass-dominated system: the example of Chwaka Bay,Marine,2012,NA,CITATION,NA
"…, B Kuguru, J Sululu, R Kayanda, M Igulu, J Kangwe…",Assessment of the effectiveness of different fishing gears and their impact on the management of inshore fish stocks along the coast of Tanzania,Marine,NA,NA,PDF,"❖ These findings indicate that the gears sampled are very selective and can have deleterious impacts on the fishery, and the quality of the ecosystems into which they reside …"
"M Igulu, S Kangwe, B Kaunda-Arara, B Kaguru…",Spatial variation in benthopelagic fish assemblage structure along coastal East Africa from recent bottom trawl surveys,Marine,2016,41.89.141.8,NA,"Humanistic valuation of resources is critical to understanding drivers to patterns and impacts, however, value of non-traded intertidal tropical bait, such as polychaetes and …"
"…, RS Arthurton, A Dubi, S Gachuiri, J Kangwe…",Shoreline Change in Tanzania and Kenya,Marine,2015,tamug-ir.tdl.org,NA,"Page 1. Shoreline Change in Tanzania an - *** - A Manual for Assessment and - SAAAS Design of Mitigation . . _ | * -- Strategies ... -- 子実 -っ TAAA S - . * . * _ . . SAAAS **_ "" - * | . SSTSS …"
"J Kangwe, N Nyandwi, R Sallema, YW Shaghude…",Shoreline Change in Tanzania and Kenya: Manual for Assessment and Design of Mitigation Strategie,Marine,2015,196.44.162.10,NA,"The aim of the manual is to raise awareness of the complex causes of, and the issues and risks associated with, shoreline change at local and national scales in Tanzania and Kenya …"
"MC Öhman, J Kangwe, M Gullström, MSP Mtolera…",Assessment of changes in the seagrass-dominated submerged vegetation of tropical Chwaka Bay (Zanzibar) using satellite remote sensing. Estuar Coast Shelf S,Marine,2006,196.44.162.10,NA,"Spatial and temporal dynamics of submerged aquatic vegetation (SAV) cover were studied in the relatively pristine and seagrass-dominated area of Chwaka Bay, Zanzibar (Tanzania) …"
"JW Kangwe, N Nyandwi",Ecological and Engineering Importance of the Bet el Ras Beach-Sandstone,Marine,2006,196.44.162.10,NA,"A unique sandstone known as the Bet el Ras sandstone, supposedly of Holocene age, occurs profusely along the western coast of Unguja but more extensive at its locality area …"
"…, B Lundén, M Bodin, JW Kangwe…",Assessment of vegetation changes in seagrass communities of tropical Chwaka Bay (Zanzibar) using satellite remote sensing,Marine,2006,diva-portal.org,NA,"Spatial and temporal dynamics of submerged aquatic vegetation (SAV) cover were studied in the relatively pristine and seagrass-dominated area of Chwaka Bay, Zanzibar (Tanzania) …"
"J Kangwe, S Mtolera, M Björk",Inorganic carbon uptake into Photosynthesis and Calcification in two common Halimeda species,Marine,2005,symposium.wiomsa.org,NA,"Inorganic carbon uptake into Photosynthesis and Calcification in two common Halimeda species J. Kangwe, S. Mtolera, M. Björk jumakangwe@yahoo.com Rhodoliths (Hydrolithon sp.), ie …"
"M Gullstrm, B Lundn, M Bodin, J Kangwe","hman, MC; Mtolera, MSP; Bjrk, M. Assessment of changes in the seagrass-dominated submerged vegetation of tropical Chwaka Bay (Zanzibar) using …",Marine,2006,NA,CITATION,NA
"C Mahika, S Kangwe, C Mwakosya, H Mhitu…",Report on near-shore demersal fish stock assessment survey in trawlable areas along the Tanzanian coast,Marine,2008,NA,CITATION,NA
"M Gullström, B Lundén, M Bodin, J Kangwe","öhman, MC, Mtolera, MS, & Björk, M.(2006). Assessment of changes in the seagrass-dominated submerged vegetation of tropical Chwaka Bay (Zanzibar) …",Marine,NA,NA,CITATION,NA
JW Kangwe,The Effect of Land Pollution on Reef Building Calcareous Algae in the Reefs near Zanzibar Town,Marine,1999,"MSc Thesis, University of Dar es …",CITATION,NA
"ANN Mussaka, JW Kangwe, N Nyandwi, KO Wannäs…","MB Preliminary results of sediment sources, grain size distribution and percentage cover of sand producing Halimeda species and associated flora in …",Marine,NA,NA,CITATION,NA
JW Kangwe,The effects of land-based pollution on reef building calcareous algae in the reefs near Zanzibar town (M. Sc. thesis),Marine,1999,NA,CITATION,NA
"JW Kangwe, MSP Mtolera, L Kautsky, M Björk",Growth and standing biomass of Halimeda (Bryopsidales) species and their contribution to sediment production in a tropical bay,Marine,2005,diva-portal.org,CITATION,DiVA. diva-portal.org. Digitala Vetenskapliga Arkivet. Please wait …
"M Björk, JW Kangwe, MSP Mtolera",Temperature effects on photosynthesis and calcification at varying light levels in rhodoliths from a tropical lagoon,Marine,2005,diva-portal.org,CITATION,DiVA. diva-portal.org. Digitala Vetenskapliga Arkivet. Please wait …
"O Seehausen, S Kangwe, AS Terry",Wasserhyazinthe und Fischerei bedrohen Viktoriasee-Cichliden,,1996,EUGEN ULMER GMBH & CO.,CITATION,NA
KD Mabuluki,"Diversity Theological Education: Genesis, Development, and Ecumenical Potential of Theological Education by Extension (TEE)",,2010,NA,CITATION,NA
LS Kapapa,"The importance of artisanal fisheries of Lake Tanganyika to the livelihood of the fishers in Kigoma region-Tanzania:(a socio-economic case study of the"" Dagaa"" …",Freshwater,2003,munin.uit.no,PDF,ACKNOWLEDGEMENT j og a great deal to the Almighty God for being my shepherd and my source of strength throughout the study. While I take full responsibility of this thesis I have gejyed …
"IB Kapinga, SM Limbu, NA Madalla…",Aspilia mossambicensis and Azadirachta indica medicinal leaf powders modulate physiological parameters of Nile tilapia (Oreochromis niloticus),Freshwater,2018,Taylor & Francis,NA,"Growing mixed-sex Nile tilapia, Oreochromis niloticus in earthen ponds to table size is a major challenge due to its early maturity and prolific breeding. This study determined the …"
"IB Kapinga, SM Limbu, NA Madalla…",Dietary Aspilia mossambicensis and Azadirachta indica supplementation alter gonadal characteristics and histology of juvenile Nile tilapia (Oreochromis niloticus),Freshwater,2019,Wiley Online Library,NA,"The use of medicinal plants to control reproduction in aquaculture have recently received considerable attention because they are biodegradable, safe, effective and locally available …"
"HA Lamtane, IB Kapinga, NA Madalla, RA Tamatamah…",Dietary Aspilia mossambicensis and Azadirachta indica supplementation alters reproductive performance and induces gonadal histopathological effects in Nile tilapia …,Freshwater,2018,196.44.162.10,NA,"The use of medicinal plants to control reproduction in aquaculture have recently received considerable attention because they are biodegradable, safe, effective and locally available …"
"IB Kapinga, SM Limbu, NA Madalla, WH Kimaro…",Dietary Aspilia mossambicensis and Azadirachta indica supplementation alters reproductive performance and induces gonadal histopathological effects in Nile tilapia …,Freshwater,NA,NA,NA,"The use of medicinal plants to control reproduction in aquaculture have recently received considerable attention because they are biodegradable, safe, effective and locally available …"
"IB Kapinga, SM Limbu, NA Madalla, WH Kimaro…",International Journal of Veterinary Science and Medicine,,NA,NA,PDF,"Growing mixed-sex Nile tilapia, Oreochromis niloticus in earthen ponds to table size is a major challenge due to its early maturity and prolific breeding. This study determined the …"
K Imani,Characterization of Artemia from solar salt works in Kenya,,2012,Msc thesis Ghent University …,CITATION,NA
"CS Nyamweya, V Natugonza, A Taabu-Munyaho…",A century of drastic change: Human-induced changes of Lake Victoria fisheries and ecology,Freshwater,2020,Elsevier,NA,Lake Victoria biophysical and geochemical status has changed dramatically within an unprecedentedly short time scale driven by human actions. These actions can be broadly …
"BB Kashindye, P Nsinda, R Kayanda, GW Ngupula…","Environmental impacts of cage culture in Lake Victoria: the case of Shirati Bay-Sota, Tanzania",Freshwater,2015,Springer,HTML,"The experimental cage culture was conducted at Shirati bay, Lake Victoria from February to August 2013, to investigate the impacts of the small scale cage culture on the environment …"
"R Proud, R Mangeni-Sande, RJ Kayanda…",Automated classification of schools of the silver cyprinid Rastrineobola argentea in Lake Victoria acoustic survey data using random forests,Freshwater,2020,academic.oup.com,NA,Biomass of the schooling fish Rastrineobola argentea (dagaa) is presently estimated in Lake Victoria by acoustic survey following the simple “rule” that dagaa is the source of most echo …
"V Natugonza, R Ogutu-Ohwayo, L Musinguzi…","Exploring the structural and functional properties of the Lake Victoria food web, and the role of fisheries, using a mass balance model",Freshwater,2016,Elsevier,NA,"Human and environmental factors have greatly challenged Lake Victoria ecosystem, especially in the last four decades. However, the lake continues to support the World's …"
"MV Elison, E Mlaponi, MJ Musiba…","Changes in the Diet of Synodontis victoriae and Synodontis afrofischeri in Lake Victoria, Tanzanian waters.",Freshwater,2018,researchgate.net,PDF,"The diet of Synodontis victoriae and S. afrofischeri was investigated from samples collected for stomach analysis in May 2013, October 2013, and April 2014 in the Tanzanian waters of …"
"BB Kashindye, HÞ Valtýsson, S Jónsson","Assessment of dagaa (Rastrineobola argentea) stocks and effects of environment in Lake Victoria, East Africa",Freshwater,2015,grocentre.is,PDF,The abundance of dagaa (Rastrineobola argentea) in Lake Victoria has been reported to fluctuate over the long period. Several studies have accounted for this fluctuation being …
BB Kashindye,"Seasonal and spatial fluctuations of Nile perch abundance and biomass in Mwanza Gulf, Lake Victoria",Freshwater,2011,UNESCO-IHE,CITATION,NA
"GW Ngupula, BB Kashindye",Spatial distribution of soluble reactive silica (SRSi) in the Tanzanian waters of Lake Victoria and its implications for diatom...,Freshwater,NA,NA,CITATION,NA
"KPC Goudswaard, F Witte, EFB Katunzi","The invasion of an introduced predator, Nile perch (Lates niloticus, L.) in Lake Victoria (East Africa): chronology and causes",Freshwater,2008,Springer,NA,"Nile perch, a large predatory fish, was introduced into Lake Victoria in 1954. The upsurge of Nile perch in Lake Victoria was first observed in the Nyanza Gulf, Kenya, in 1979. In …"
"PC Goudswaard, F Witte, EFB Katunzi",The tilapiine fish stock of Lake Victoria before and after the Nile perch upsurge,Freshwater,2002,Wiley Online Library,NA,"Since the beginning of fisheries in Lake Victoria, two native tilapiine species, Oreochromis esculentus and Oreochromis variabilis, were the main target of the local fishermen. A …"
"MA Kishe-Machumu, F Witte, JH Wanink, EFB Katunzi","The diet of Nile perch, Lates niloticus (L.) after resurgence of haplochromine cichlids in the Mwanza Gulf of Lake Victoria",Freshwater,2012,Springer,HTML,"Haplochromine cichlids used to be the main prey of the introduced Nile perch, Lates niloticus, in Lake Victoria. After depletion of the haplochromine stocks at the end of the …"
"EFB Katunzi, WLT Van Densen, JH Wanink, F Witte","Spatial and seasonal patterns in the feeding habits of juvenile Lates niloticus (L.), in the Mwanza Gulf of Lake Victoria",Freshwater,2006,Springer,NA,Flexibility in the feeding habits of juvenile Nile perch (1–30 cm total length) was studied from September 1988 to September 1989 at four sites (depth range: 1–25 m) in the Mwanza Gulf …
"EFB Katunzi, J Zoutendijk…",Lost zooplanktivorous cichlid from Lake Victoria reappears with a new trade,Freshwater,2003,Wiley Online Library,NA,"The zooplanktivorous cichlid Haplochromis pyrrhocephalus, which was one of the most common haplochromine species in the Mwanza Gulf of Lake Victoria, had almost completely …"
"AJ Rothuis, MNJ Turenhout, A van Duijn, AJ Roem…",Aquaculture in East Africa: a regional approach,Freshwater,2014,library.wur.nl,PDF,1.1 Background Aquaculture has the potential to make a significant contribution to food security and income generation. This has been recognised by multilateral organisations …
"MJ Musiba, GW Ngupula, BB Kashindye…",Performance of locally formulated feeds for rearing of African catfish in Tanzania,Freshwater,2014,ajol.info,NA,"PERFORMANCE OF LOCALLY FORMULATED FEEDS FOR REARING OF AFRICAN CATFISH IN TANZANIA ABSTRACT Key Words: Clari Page 1 African Crop Science Journal, Vol. 22 …"
"KPC Goudswaard, JH Wanink, F Witte, EFB Katunzi…","Diel vertical migration of major fish-species in Lake Victoria, East Africa",Freshwater,2004,Springer,NA,Understanding of migration patterns is essential in the interpretation of hydro-acoustic stock assessment data of partly demersal partly pelagic fish stocks. In this paper we provide this …
"JH Wanink, EFB Katunzi, KPC Goudswaard…",The shift to smaller zooplankton in Lake Victoria cannot be attributed to the 'sardine'Rastrineobola argentea (Cyprinidae),Freshwater,2002,cambridge.org,NA,"After the population increase of introduced Nile perch (Lates niloticus) in Lake Victoria, a decrease in the relative abundance of herbivorous cladocerans and calanoids was reported …"
"PC Goudswaard, EFB Katunzi…",Distribution of Nile perch Lates niloticus in southern Lake Victoria is determined by depth and dissolved oxygen concentrations,Freshwater,2011,Taylor & Francis,NA,"Although Nile perch Lates niloticus is assumed to be sensitive to low oxygen concentrations, it was found in deep water in Lake Victoria, where oxygen depletion is common during the …"
"EFB Katunzi, MA Kishe",Changes in population structures of the major species in selected satellite lakes around Lake Victoria following changes in fishing effort,Freshwater,2004,ajol.info,NA,"This paper evaluates the impacts of reduction in effort, increase in mesh sizes, and prohibition of illegal fishing gears in selected satellite lakes around Lake Victoria. The study …"
"EFB Katunzi, A Mbonde, R Waya…",Minor water bodies around southern Lake Victoria—a replica of lost biodiversity,Freshwater,2010,read.dukeupress.edu,NA,The catchment and water chemistry of Lake Victoria are greatly influenced by the inflow of rivers and the alternation of the dry and wet seasons. The ecological integrity of the lake has …
EFB Katunzi,Food preferences of four haplochromine cichlids from Mwanza Gulf in Lake Victoria,Freshwater,1980,University of Dar es Salaam,CITATION,NA
"EFB Katunzi, P Mannini",Biological and fishery aspects of Rastrineobola argentea in the southern part of Lake Victoria,Freshwater,1992,fao.org,PDF,"Over the past recent years, small pelagic fisheries have been reported to be increasing in many of the great African Lakes. Prior to this, both the industrial and the artisanal fisheries …"
EFB Katunzi,A review of Lake Victoria fisheries with recommendations for management and conservation,Freshwater,2019,taylorfrancis.com,NA,"ABSTRACT The Lake Victoria fisheries have undergone significant change in recent years along with a shift in the lake's ecosystem. The multispecies fishery, based on a variety of …"
"JO Okaronon, EFB Katunzi, AA Asila",Fish species identification guide for Lake Victoria: enumerator's field guide,Freshwater,1998,Lake Victoria Fisheries Research …,CITATION,NA
"F Witte, PC Goudswaard, EFB Katunzi, OC Mkumbo…",Lake Victoria's ecological changes and their relationships with the riparian societies,Freshwater,1999,boris.unibe.ch,CITATION,BORIS Deutsch English Français Login BORIS Bern Open Repository and Information System University of Bern Home Statistics Lake Victoria's ecological changes and their relationships with …
"EFB Katunzi, PO Onyango, SB Mahongo…",Historical Perspectives and Trends in Fisheries Research in Tanzania,,2017,Springer,NA,This chapter traces the history and trends in fisheries research for the Tanzanian part of Lake Victoria and its basin back to the late nineteenth century when the haplochromine …
EFB Katunzi,Conservation of satellite lakes as refugia for the endangered species of Lake Victoria: a case study of Lake Malimbe,Freshwater,1995,NA,CITATION,NA
"EFB Katunzi, YD Mgaya, OC Mkumbo…",Fish Biology and Life History Indicators,,2017,Springer,NA,"Life history traits like growth, reproduction, food and mortality are principal factors in the survival of the fish. This chapter examines the life history indicators of three commercial fish …"
"JH Wanink, F Witte, PC Goudswaard…",Changes in biomass and predation pressure of zooplanktivorous fish in the sublittoral waters of the MwanzaGulf of Lake Victoria,Freshwater,2000,researchgate.net,PDF,"The biomass of zooplanktivorous fish in the Mwanza Gulf of Lake Victoria decreased considerably between 1973 and 1989. The decline in haplochromine cichlids, following …"
EFB Katunzi,"The biology, ecology and fishery of Oreochromis esculentus in the Lake Victoria Basin",Freshwater,2004,repository.eac.int,NA,"Oreochromis esculentus an indigenous tilapiine species in Lake Victoria has become extinct due to a number of factors. These include, introduction of a more competitive species …"
EFB Katunzi,"Aspects of migration, size structure and mortality of juvenile Nile perch in the Mwanza Gulf of Lake Victoria",Freshwater,1990,NA,CITATION,NA
EFB Katunzi,Seasonal variation in the food of a molluscivorous cichlid Haplochromis sauvagei Pfeffer 1896,Freshwater,1982,brill.com,CITATION,"Most investigations of the food of haplochromine cichlids have been qualitative. Various food items were enumerated without further details of the feeding strategies, seasonal …"
"EFB Katunzi, YD Mgaya, OC Mkumbo, SM Limbu","Fish Biology and Life History Indicators. In: Mgaya, YD and Mahongo, SB (Editors), Lake Victoria Fisheries Resources: Research and Management in Tanzania.",Freshwater,NA,NA,NA,"Life history traits like growth, reproduction, food and mortality are principal factors in the survival of the fish. This chapter examines the life history indicators of three commercial fish …"
EFB Katunzi,"Satellite lakes, rivers and dams as refugia for the endangered fish species of Lake Victoria",Freshwater,2001,NA,CITATION,NA
